date,state,number_of_cases
2020-06-01,Maharashtra,0
2020-06-01,Tamil Nadu,738
2020-06-01,Delhi,940
2020-06-01,Gujarat,0
2020-06-01,Rajasthan,137
2020-06-01,Madhya Pradesh,0
2020-06-01,Uttar Pradesh,0
2020-06-01,West Bengal,114
2020-06-01,Unknown*,0
2020-06-01,Bihar,-156
2020-06-01,Andhra Pradesh,69
2020-06-01,Karnataka,76
2020-06-01,Telangana,0
2020-06-01,Jammu and Kashmir,133
2020-06-01,Haryana,257
2020-06-01,Punjab,0
2020-06-01,Odisha,37
2020-06-01,Assam,-41
2020-06-01,Kerala,56
2020-06-01,Uttarakhand,-77
2020-06-01,Jharkhand,3
2020-06-01,Chhattisgarh,0
2020-06-01,Himachal Pradesh,7
2020-06-01,Tripura,5
2020-06-01,Chandigarh,0
2020-06-01,Ladakh,0
2020-06-01,Manipur,0
2020-06-01,Goa,0
2020-06-01,Puducherry,0
2020-06-01,Nagaland,0
2020-06-01,Andaman and Nicobar Islands,0
2020-06-01,Meghalaya,1
2020-06-01,Arunachal Pradesh,3
2020-06-01,Dadra and Nagar Haveli,0
2020-06-01,Mizoram,0
2020-06-01,Sikkim,0
2020-06-01,Lakshadweep,0
2020-06-01,Daman and Diu,0
